iter	Passed	Remaining
290	8054	2989
291	8080	2961
292	8106	2932
293	8131	2904
294	8156	2875
295	8182	2847
296	8210	2819
297	8235	2791
298	8261	2763
299	8287	2734
300	8313	2706
301	8339	2678
302	8365	2650
303	8394	2623
304	8422	2595
305	8449	2567
306	8476	2540
307	8504	2512
308	8533	2485
309	8561	2458
310	8589	2430
311	8618	2403
312	8645	2375
313	8672	2347
314	8699	2319
315	8727	2292
316	8754	2264
317	8780	2236
318	8806	2208
319	8833	2180
320	8859	2152
321	8887	2125
322	8916	2098
323	8943	2070
324	8970	2042
325	8997	2014
326	9024	1986
327	9051	1959
328	9078	1931
329	9105	1903
330	9132	1876
331	9161	1848
332	9188	1821
333	9216	1793
334	9245	1766
335	9274	1738
336	9302	1711
337	9332	1684
338	9359	1656
339	9386	1628
340	9414	1601
341	9441	1573
342	9468	1545
343	9495	1518
344	9522	1490
345	9548	1462
346	9574	1434
347	9600	1407
348	9627	1379
349	9655	1351
350	9682	1324
351	9708	1296
352	9734	1268
353	9761	1240
354	9788	1213
355	9814	1185
356	9841	1157
357	9867	1130
358	9894	1102
359	9920	1074
360	9944	1046
361	9972	1019
362	9997	991
363	10025	963
364	10051	936
365	10079	908
366	10105	881
367	10131	853
368	10157	825
369	10184	798
370	10211	770
371	10236	742
372	10263	715
373	10290	687
374	10316	660
375	10342	632
376	10371	605
377	10399	577
378	10425	550
379	10451	522
380	10478	495
381	10506	467
382	10532	440
383	10559	412
384	10587	384
385	10613	357
386	10641	329
387	10667	302
388	10695	274
389	10724	247
390	10754	220
391	10783	192
392	10811	165
393	10838	137
394	10866	110
395	10894	82
396	10922	55
397	10950	27
398	10978	0
